,Translation,Article,Noun
0,Contestadores,Die,Anrufbeantworter
1,Anuncios,Die,Ansagen
2,Conexiones,Die,Anschlüsse
3,Respuestas,Die,Antworten
4,Anuncios,Die,Anzeigen
5,Departamentos,Die,Apartments
6,Manzanas,Die,Äpfel
7,Apetitos,Die,Appetite
8,Trabajos,Die,Arbeiten
9,Empleos,Die,Arbeitsplätze
10,Brazos,Die,Arme
11,Médicos,Die,Ärzte
12,Tareas,Die,Aufgaben
13,Ascensores,Die,Aufzüge
14,Ojos,Die,Augen
15,Excursiones,Die,Ausflüge
16,Salidas,Die,Ausgänge
17,Informaciones,Die,Auskünfte
18,Extranjero,Der,Ausländer
19,Declaraciones,Die,Aussagen
20,Identificationes,Die,Ausweise
21,Autopistas,Die,Autobahnen
22,Cajeros,Die,Automaten
23,Autos,Die,Autos
24,Panaderías,Die,Bäckereien
25,Baños,Die,Bäder
26,Trenes,Die,Bahnen
27,Estaciones,Die,Bahnhöfe
28,Andenes,Die,Bahnsteige
29,Balcones,Die,Balkons
30,Bananas,Die,Bananen
31,Bancos,Die,Bänke
32,Barrigas,Die,Bäuche
33,Árboles,Die,Bäume
34,Funcionarios,Die,Beamten
35,Piernas,Die,Beine
36,Ejemplos,Die,Beispiele
37,Conocidos,Die,Bekannten
38,Profesiones,Die,Berufe
39,Camas,Die,Betten
40,Cervezas,Die,Biere
41,Peras,Die,Birnen
42,Favores,Die,Bitten
43,Lápices,Die,Bleistifte
44,Miradas,Die,Blicke
45,Flores,Die,Blumen
46,Arcos,Die,Bögen
47,Cartas,Die,Briefe
48,Sellos,Die,Briefmarken
49,Pancitos,Die,Brötchen
50,Panes,Die,Brote
51,Libros,Die,Bücher
52,Letras,Die,Buchstaben
53,Oficinas,Die,Büros
54,Cafeterías,Die,Cafés
55,Cds,Die,Cds
56,Jefes,Die,Chefs
57,Computadoras,Die,Computer
58,Cremas,Die,Cremes
59,Techos,Die,Dächer
60,Dama,Die,Damen
61,Edad,Das,Alter
62,Oferta,Das,Angebot
63,Departamento,Das,Apartment
64,Ojo,Das,Auge
65,Auto,Das,Auto
66,Baño,Das,Bad
67,Pierna,Das,Bein
68,Ejemplo,Das,Beispiel
69,Cama,Das,Bett
70,Cerveza,Das,Bier
71,Pan,Das,Brot
72,Pancito,Das,Brötchen
73,Libro,Das,Buch
74,La Oficina,Das,Büro
75,Cafetería,Das,Café
76,Techo,Das,Dach
77,Fecha,Das,Datum
78,Habitación Doble,Das,Doppelzimmer
79,Pueblo,Das,Dorf
80,Huevo,Das,Ei
81,Habitación Simple,Das,Einzelzimmer
82,Helado,Das,Eis
83,Final,Das,Ende
84,Planta Baja,Das,Erdgeschoss
85,Resultado,Das,Ergebnis
86,Comida,Das,Essen
87,Bicicleta,Das,Fahrrad
88,Fax,Das,Fax
89,Ventana,Das,Fenster
90,Televisión,Das,Fernsehgerät
91,Fiesta,Das,Fest
92,Fuego,Das,Feuer
93,Encendedor,Das,Feuerzeug
94,Fiebre,Das,Fieber
95,Carne,Das,Fleisch
96,Avión,Das,Flugzeug
97,Formulario,Das,Formular
98,Foto ,Das,Foto
99,Desayuno,Das,Frühstück
100,Lostandfound,Das,Fundbüro
101,Gas,Das,Gas
102,Año De Nacimiento,Das,Geburtsjahr
103,Opuesto,Das,Gegenteil
104,Dinero,Das,Geld
105,Verdura,Das,Gemüse
106,Equipaje,Das,Gepäck
107,Negocio,Das,Geschäft
108,Regalo,Das,Geschenk
109,Vajilla,Das,Geschirr
110,Rostro,Das,Gesicht
111,Conversación,Das,Gespräch
112,Bebida,Das,Getränk
113,Peso,Das,Gewicht
114,Tormenta,Das,Gewitter
115,Vaso,Das,Glas
116,Vía,Das,Gleis
117,Suerte,Das,Glück
118,Pelo,Das,Haar
119,Pollo,Das,Hähnchen
120,Toalla,Das,Handtuch
121,Celular,Das,Handy
122,Casa,Das,Haus
123,Camisa,Das,Hemd
124,Corazón,Das,Herz
125,Pasatiempo,Das,Hobby
126,Madera,Das,Holz
127,Hotel,Das,Hotel
128,Internet,Das,Internet
129,Vehículo,Das,Kfz
130,Niñx,Das,Kind
131,Cine,Das,Kino
132,Vestido,Das,Kleid
133,Consulado,Das,Konsulat
134,Cuenta,Das,Konto
135,Depósito,Das,Lager
136,País,Das,Land
137,Vida,Das,Leben
138,Luz,Das,Licht
139,Canción,Das,Lied
140,Agujero,Das,Loch
141,Local,Das,Lokal
142,Chica,Das,Mädchen
143,Vez,Das,Mal
144,Material,Das,Material
145,Medicamento,Das,Medikament
146,Mar,Das,Meer
147,Cuchillo,Das,Messer
148,Metal,Das,Metall
149,Mitad,Das,Mittel
150,Museo,Das,Museum
151,Fruta,Das,Obst
152,Aceite,Das,Öl
153,Envoltorio,Das,Päckchen
154,Paquete,Das,Paket
155,Papel,Das,Papier
156,Perfume,Das,Parfüm
157,Plástico,Das,Plastik
158,Pasantías,Das,Praktikum
159,Problema,Das,Problem
160,Producto,Das,Produkt
161,Programa,Das,Programm
162,Radio,Das,Radio
163,Ayuntamiento,Das,Rathaus
164,Agencia De Viaje,Das,Reisebüro
165,Restaurante,Das,Restaurant
166,Receta,Das,Rezept
167,Carne Vacuna,Das,Rind
168,Sal,Das,Salz
169,Enbarcación,Das,Schiff
170,Cartel,Das,Schild
171,Candado,Das,Schloss
172,Cerdo,Das,Schwein
173,Picina,Das,Schwimmbad
174,Sofá,Das,Sofa
175,Oferta,Das,Sonderangebot
176,Oficina De Registro,Das,Standesamt
177,Fósforo,Das,Streichholz
178,Pedazo,Das,Stück
179,Carrera,Das,Studium
180,Taxi,Das,Taxi
181,Teléfono,Das,Telefon
182,Directorio Telefónico,Das,Telefonbuch
183,Teatro,Das,Theater
184,Tema,Das,Thema
185,Boleto,Das,Ticket
186,Animal,Das,Tier
187,Propina,Das,Trinkgeld
188,Video,Das,Video
189,Agua,Das,Wasser
190,Herramienta,Das,Werkzeug
191,Tiempo,Das,Wetter
192,Adiós,Das,Wiederhören
193,Adiós,Das,Wiedersehen
194,Palabra,Das,Wort
195,Centro,Das,Zentrum
196,Nota,Das,Zeugnis
197,Habitación,Das,Zimmer
198,Fechas,Die,Daten
199,Despegue,Der,Abflug
200,Remitente,Der,Absender
201,Comienzo,Der,Anfang
202,Llamada,Der,Anruf
203,Contestador,Der,Anrufbeantworter
204,Conexción,Der,Anschluss
205,Manzana,Der,Apfel
206,Apetito,Der,Appetit
207,Empleo,Der,Arbeitsplatz
208,Brazo,Der,Arm
209,Médico,Der,Arzt
210,Ascensor,Der,Aufzug
211,Excursión,Der,Ausflug
212,Salida,Der,Ausgang
213,Extranjero,Der,Ausländer
214,Identificación,Der,Ausweis
215,Cajero,Der,Automat
216,Estación De Trenes,Der,Bahnhof
217,Andén,Der,Bahnsteig
218,Balcón,Der,Balkon
219,Barriga,Der,Bauch
220,Árbol,Der,Baum
221,Funcionario,Der,Beamte
222,Profesión,Der,Beruf
223,Lápiz,Der,Bleistift
224,Mirada,Der,Blick
225,Arco,Der,Bogen
226,Carta,Der,Brief
227,Letra,Der,Buchstabe
228,Jefe,Der,Chef
229,Computadora,Der,Computer
230,Agradecimiento,Der,Dank
231,El Gasóleo,Der,Diesel
232,Doctor,Der,Doktor
233,Impresora,Der,Drucker
234,Sed,Der,Durst
235,Esposo,Der,Ehemann
236,Entrada,Der,Eingang
237,Entrada,Der,Eintritt
238,Habitante,Der,Einwohner
239,Recepción,Der,Empfang
240,Destinario,Der,Empfänger
241,Nieto,Der,Enkel
242,Adulto,Der,Erwachsene
243,Exportación,Der,Export
244,Conductor,Der,Fahrer
245,Horario,Der,Fahrplan
246,Apellido,Der,Familienname
247,Estado Civil,Der,Familienstand
248,Error,Der,Fehler
249,Fin De Jornada Laboral,Der,Feierabend
250,Feriado,Der,Feiertag
251,Película,Der,Film
252,Pez,Der,Fisch
253,Aeropuerto,Der,Flughafen
254,Pasillo,Der,Flur
255,Río,Der,Fluss
256,Camara,Der,Fotoapparat
257,Amigo,Der,Freund
258,Licencia,Der,Führerschein
259,Pie,Der,Fuß
260,Pelota,Der,Fußball
261,Jardín,Der,Garten
262,Invitado,Der,Gast
263,Lugar De Nacimiento,Der,Geburtsort
264,Cumpleaños,Der,Geburtstag
265,Cajero,Der,Geldautomat
266,Felicitaciones,Der,Glückwunsch
267,Abuelo,Der,Großvater
268,Saludo,Der,Gruß
269,Cuello,Der,Hals
270,Hogar,Der,Haushalt
271,Amo De Casa,Der,Hausmann
272,Cocina,Der,Herd
273,Señor,Der,Herr
274,Perro,Der,Hund
275,Hambre,Der,Hunger
276,Importación,Der,Import
277,Contenido,Der,Inhalt
278,Trabajo,Der,Job
279,Adolecente,Der,Jugendliche
280,Chico,Der,Junge
281,Café,Der,Kaffee
282,Calendario,Der,Kalender
283,Queso,Der,Käse
284,Reproductor,Der,Kassettenrecorder
285,Sótano,Der,Keller
286,Mozo,Der,Kellner
287,Jardín Infantil,Der,Kindergarten
288,Cochecito (Pram),Der,Kinderwagen
289,Quiosco,Der,Kiosk
290,Valija,Der,Koffer
291,Colega,Der,Kollege
292,Contacto,Der,Kontakt
293,Cabeza,Der,Kopf
294,Cuerpo,Der,Körper
295,Crédito,Der,Kredit
296,Cíclo,Der,Kreis
297,Pastel,Der,Kuchen
298,Birome,Der,Kugelschreiber
299,Heladera,Der,Kühlschrank
300,Cliente,Der,Kunde
301,Curso,Der,Kurs
302,Tienda,Der,Laden
303,Maestro,Der,Lehrer
304,Camión,Der,Lastkrafwagen
305,Cuchara,Der,Löffel
306,Sueldo,Der,Lohn
307,Estómago,Der,Magen
308,Hombre,Der,Mann
309,Campera,Der,Mantel
310,Mercado,Der,Markt
311,Mecánico,Der,Mechaniker
312,Hombre,Der,Mensch
313,Momento,Der,Moment
314,Motor,Der,Motor
315,Residuos,Der,Müll
316,Boca,Der,Mund
317,Vecino,Der,Nachbar
318,Nombre,Der,Name
319,Neblina,Der,Nebel
320,Médico,Der,Notarzt
321,Emergencia,Der,Notfall
322,Aceite,Der,Ober
323,Abuelo,Der,Opa
324,Sitio,Der,Ort
325,Parque,Der,Park
326,Compañero,Der,Partner
327,Pasaporte,Der,Pass
328,Coche,Der,Personenkraftwagen
329,Plan,Der,Plan
330,Plaza,Der,Platz
331,Precio,Der,Preis
332,Folleto,Der,Prospekt
333,Pullover,Der,Pullover
334,Descuento,Der,Rabatt
335,Fumador,Der,Raucher
336,Cuarto,Der,Raum
337,Lluvia,Der,Regen
338,Maduro,Der,Reifen
339,Arroz,Der,Reis
340,Guía Turístico,Der,Reiseführer
341,Pollera,Der,Rock
342,Parte Trasera,Der,Rücken
343,Excursión,Der,Rundgang
344,Jugo,Der,Saft
345,Ensalada,Der,Salat
346,Oración,Der,Satz
347,Mostrador,Der,Schalter
348,Jamón,Der,Schinken
349,Pantalla,Der,Schirm
350,Cierre,Der,Schluss
351,Llave,Der,Schlüssel
352,Nieve,Der,Schnee
353,Resfriado,Der,Schnupfen
354,Armario,Der,Schrank
355,Zapato,Der,Schuh
356,Alumno,Der,Schüler
357,Lago,Der,See
358,Servicio,Der,Service
359,Sillón,Der,Sessel
360,Hijo,Der,Sohn
361,Diversión,Der,Spaß
362,Caminata,Der,Spaziergang
363,Patio De Juego,Der,Spielplatz
364,Deporte,Der,Sport
365,Planta,Der,Stock
