,Article,Noun,Translation,Traducción
0,Die,Anrufbeantworter,Answering Machines,Contestadores
1,Die,Ansagen,Advertisements,Anuncios
2,Die,Anschlüsse,Connections,Conexiones
3,Die,Antworten,Answers,Respuestas
4,Die,Anzeigen,Advertisements,Anuncios
5,Die,Apartments,Departments,Departamentos
6,Die,Äpfel,Apples,Manzanas
7,Die,Appetite,Appetites,Apetitos
8,Die,Arbeiten,Jobs,Trabajos
9,Die,Arbeitsplätze,Jobs,Empleos
10,Die,Arme,Arms,Brazos
11,Die,Ärzte,Doctors,Médicos
12,Die,Aufgaben,Chores,Tareas
13,Die,Aufzüge,Elevators,Ascensores
14,Die,Augen,Eyes,Ojos
15,Die,Ausflüge,Excursions,Excursiones
16,Die,Ausgänge,Departures,Salidas
17,Die,Auskünfte,Information,Informaciones
18,Der,Ausländer,Foreign,Extranjero
19,Die,Aussagen,Statements,Declaraciones
20,Die,Ausweise,Identificationes,Identificationes
21,Die,Autobahnen,Freeways,Autopistas
22,Die,Automaten,Cashiers,Cajeros
23,Die,Autos,Cars,Autos
24,Die,Bäckereien,Bakeries,Panaderías
25,Die,Bäder,Bathrooms,Baños
26,Die,Bahnen,Trains,Trenes
27,Die,Bahnhöfe,Seasons,Estaciones
28,Die,Bahnsteige,Platforms,Andenes
29,Die,Balkons,Balconies,Balcones
30,Die,Bananen,Bananas,Bananas
31,Die,Bänke,Banks,Bancos
32,Die,Bäuche,Bellies,Barrigas
33,Die,Bäume,Trees,Árboles
34,Die,Beamten,Officials,Funcionarios
35,Die,Beine,Legs,Piernas
36,Die,Beispiele,Examples,Ejemplos
37,Die,Bekannten,Acquaintances,Conocidos
38,Die,Berufe,Professions,Profesiones
39,Die,Betten,Beds,Camas
40,Die,Biere,Beers,Cervezas
41,Die,Birnen,Pears,Peras
42,Die,Bitten,Favors,Favores
43,Die,Bleistifte,Pencils,Lápices
44,Die,Blicke,Looks,Miradas
45,Die,Blumen,Flowers,Flores
46,Die,Bögen,Bows,Arcos
47,Die,Briefe,Letters,Cartas
48,Die,Briefmarken,Seals,Sellos
49,Die,Brötchen,Buns,Pancitos
50,Die,Brote,Breads,Panes
51,Die,Bücher,Books,Libros
52,Die,Buchstaben,Letters,Letras
53,Die,Büros,Offices,Oficinas
54,Die,Cafés,Coffee Shops,Cafeterías
55,Die,Cds,Cds,Cds
56,Die,Chefs,Bosses,Jefes
57,Die,Computer,Computers,Computadoras
58,Die,Cremes,Creams,Cremas
59,Die,Dächer,Roofs,Techos
60,Die,Damen,Lady,Dama
61,Das,Alter,Age,Edad
62,Das,Angebot,Offer,Oferta
63,Das,Apartment,Department,Departamento
64,Das,Auge,Eye,Ojo
65,Das,Auto,Car,Auto
66,Das,Bad,Bathroom,Baño
67,Das,Bein,Leg,Pierna
68,Das,Beispiel,Example,Ejemplo
69,Das,Bett,Bed,Cama
70,Das,Bier,Beer,Cerveza
71,Das,Brot,Bread,Pan
72,Das,Brötchen,Bread,Pancito
73,Das,Buch,Book,Libro
74,Das,Büro,The Office,La Oficina
75,Das,Café,Coffee Shop,Cafetería
76,Das,Dach,The Ceiling,Techo
77,Das,Datum,Date,Fecha
78,Das,Doppelzimmer,Double Room,Habitación Doble
79,Das,Dorf,Village,Pueblo
80,Das,Ei,Egg,Huevo
81,Das,Einzelzimmer,Single Room,Habitación Simple
82,Das,Eis,Ice Cream,Helado
83,Das,Ende,Final,Final
84,Das,Erdgeschoss,Low Level,Planta Baja
85,Das,Ergebnis,Outcome,Resultado
86,Das,Essen,Food,Comida
87,Das,Fahrrad,Bike,Bicicleta
88,Das,Fax,Fax,Fax
89,Das,Fenster,Window,Ventana
90,Das,Fernsehgerät,Tv,Televisión
91,Das,Fest,Party,Fiesta
92,Das,Feuer,Fire,Fuego
93,Das,Feuerzeug,Lighter,Encendedor
94,Das,Fieber,Fever,Fiebre
95,Das,Fleisch,Meat,Carne
96,Das,Flugzeug,Plane,Avión
97,Das,Formular,Form,Formulario
98,Das,Foto,Photo,Foto
99,Das,Frühstück,Breakfast,Desayuno
100,Das,Fundbüro,Lostandfound,Lostandfound
101,Das,Gas,Gas,Gas
102,Das,Geburtsjahr,Year Of Birth,Año De Nacimiento
103,Das,Gegenteil,Opposite,Opuesto
104,Das,Geld,Money,Dinero
105,Das,Gemüse,Vegetable,Verdura
106,Das,Gepäck,Luggage,Equipaje
107,Das,Geschäft,Deal,Negocio
108,Das,Geschenk,Present,Regalo
109,Das,Geschirr,Crockery,Vajilla
110,Das,Gesicht,Face,Rostro
111,Das,Gespräch,Conversation,Conversación
112,Das,Getränk,Drink,Bebida
113,Das,Gewicht,Weight,Peso
114,Das,Gewitter,Storm,Tormenta
115,Das,Glas,Cup,Vaso
116,Das,Gleis,Via,Vía
117,Das,Glück,Luck,Suerte
118,Das,Haar,Hair,Pelo
119,Das,Hähnchen,Chicken,Pollo
120,Das,Handtuch,Towel,Toalla
121,Das,Handy,Cell Phone,Celular
122,Das,Haus,House,Casa
123,Das,Hemd,Shirt,Camisa
124,Das,Herz,Heart,Corazón
125,Das,Hobby,Hobby,Pasatiempo
126,Das,Holz,Wood,Madera
127,Das,Hotel,Hotel,Hotel
128,Das,Internet,Internet,Internet
129,Das,Kfz,Vehicle,Vehículo
130,Das,Kind,Child,Niñx
131,Das,Kino,Cinema,Cine
132,Das,Kleid,Dress,Vestido
133,Das,Konsulat,Consulate,Consulado
134,Das,Konto,Bill,Cuenta
135,Das,Lager,Deposit,Depósito
136,Das,Land,Country,País
137,Das,Leben,Lifetime,Vida
138,Das,Licht,Light,Luz
139,Das,Lied,Song,Canción
140,Das,Loch,Hole,Agujero
141,Das,Lokal,Local,Local
142,Das,Mädchen,Girl,Chica
143,Das,Mal,Time,Vez
144,Das,Material,Material,Material
145,Das,Medikament,Medicine,Medicamento
146,Das,Meer,Sea,Mar
147,Das,Messer,Knife,Cuchillo
