Article,Noun,Translation
die,Anrufbeantworter,contestadores
die,Ansagen,anuncios
die,Anschlüsse,conexiones
die,Antworten,respuestas
die,Anzeigen,anuncios
die,Apartments,departamentos
die,Äpfel,manzanas
die,Appetite,apetitos
die,Arbeiten,trabajos
die,Arbeitsplätze,empleos
die,Arme,brazos
die,Ärzte,médicos
die,Aufgaben,tareas
die,Aufzüge,ascensores
die,Augen,ojos
die,Ausflüge,excursiones
die,Ausgänge,salidas
die,Auskünfte,informaciones
der,Ausländer,extranjero
die,Aussagen,declaraciones
die,Ausweise,identificationes
die,Autobahnen,autopistas
die,Automaten,cajeros
die,Autos,autos
die,Bäckereien,panaderías
die,Bäder,baños
die,Bahnen,trenes
die,Bahnhöfe,estaciones
die,Bahnsteige,andenes
die,Balkons,balcones
die,Bananen,bananas
die,Bänke,bancos
die,Bäuche,barrigas
die,Bäume,árboles
die,Beamten,funcionarios
die,Beine,piernas
die,Beispiele,ejemplos
die,Bekannten,conocidos
die,Berufe,profesiones
die,Betten,camas
die,Biere,cervezas
die,Birnen,peras
die,Bitten,favores
die,Bleistifte,lápices
die,Blicke,miradas
die,Blumen,flores
die,Bögen,arcos
die,Briefe,cartas
die,Briefmarken,sellos
die,Brötchen,pancitos
die,Brote,panes
die,Bücher,libros
die,Buchstaben,letras
die,Büros,oficinas
die,Cafés,cafeterías
die,CDs,cds
die,Chefs,jefes
die,Computer,computadoras
die,Cremes,cremas
die,Dächer,techos
die,Damen,dama
das,Alter,edad
das,Angebot,oferta
das,Apartment,departamento
das,Auge,ojo
das,Auto,auto
das,Bad,baño
das,Bein,pierna
das,Beispiel,ejemplo
das,Bett,cama
das,Bier,cerveza
das,Brot,pan
das,Brötchen,pancito
das,Buch,libro
das,Büro,La oficina
das,Café,cafetería
das,Dach,techo
das,Datum,fecha
das,Doppelzimmer,habitación doble
das,Dorf,pueblo
das,Ei,huevo
das,Einzelzimmer,habitación simple
das,Eis,helado
das,Ende,final
das,Erdgeschoss,planta baja
das,Ergebnis,resultado
das,Essen,comida
das,Fahrrad,bicicleta
das,Fax,fax
das,Fenster,ventana
das,Fernsehgerät,televisión
das,Fest,fiesta
das,Feuer,fuego
das,Feuerzeug,encendedor
das,Fieber,fiebre
das,Fleisch,carne
das,Flugzeug,avión
das,Formular,formulario
das,Foto,foto 
das,Frühstück,desayuno
das,Fundbüro,lostandfound
das,Gas,gas
das,Geburtsjahr,año de nacimiento
das,Gegenteil,opuesto
das,Geld,dinero
das,Gemüse,verdura
das,Gepäck,equipaje
das,Geschäft,negocio
das,Geschenk,regalo
das,Geschirr,vajilla
das,Gesicht,rostro
das,Gespräch,conversación
das,Getränk,bebida
das,Gewicht,peso
das,Gewitter,tormenta
das,Glas,vaso
das,Gleis,vía
das,Glück,suerte
das,Haar,pelo
das,Hähnchen,pollo
das,Handtuch,toalla
