Article,Noun,Translation,Traducción,Level
Die,Anrufbeantworter,Answering Machines,Contestadores,A2
Die,Ansagen,Advertisements,Anuncios,A2
Die,Anschlüsse,Connections,Conexiones,A2
Die,Antworten,Answers,Respuestas,A2
Die,Anzeigen,Advertisements,Anuncios,A2
Die,Apartments,Departments,Departamentos,A2
Die,Äpfel,Apples,Manzanas,A2
Die,Appetite,Appetites,Apetitos,A2
Die,Arbeiten,Jobs,Trabajos,A2
Die,Arbeitsplätze,Jobs,Empleos,A2
Die,Arme,Arms,Brazos,A2
Die,Ärzte,Doctors,Médicos,A2
Die,Aufgaben,Chores,Tareas,A2
Die,Aufzüge,Elevators,Ascensores,A2
Die,Augen,Eyes,Ojos,A2
Die,Ausflüge,Excursions,Excursiones,A2
Die,Ausgänge,Departures,Salidas,A2
Die,Auskünfte,Information,Informaciones,A2
Der,Ausländer,Foreign,Extranjero,A2
Die,Aussagen,Statements,Declaraciones,A2
Die,Ausweise,Identificationes,Identificationes,A2
Die,Autobahnen,Freeways,Autopistas,A2
Die,Automaten,Cashiers,Cajeros,A2
Die,Autos,Cars,Autos,A2
Die,Bäckereien,Bakeries,Panaderías,A2
Die,Bäder,Bathrooms,Baños,A2
Die,Bahnen,Trains,Trenes,A2
Die,Bahnhöfe,Seasons,Estaciones,A2
Die,Bahnsteige,Platforms,Andenes,A2
Die,Balkons,Balconies,Balcones,A2
Die,Bananen,Bananas,Bananas,A2
Die,Bänke,Banks,Bancos,A2
Die,Bäuche,Bellies,Barrigas,A2
Die,Bäume,Trees,Árboles,A2
Die,Beamten,Officials,Funcionarios,A2
Die,Beine,Legs,Piernas,A2
Die,Beispiele,Examples,Ejemplos,A2
Die,Bekannten,Acquaintances,Conocidos,A2
Die,Berufe,Professions,Profesiones,A2
Die,Betten,Beds,Camas,A2
Die,Biere,Beers,Cervezas,A2
Die,Birnen,Pears,Peras,A2
Die,Bitten,Favors,Favores,A2
Die,Bleistifte,Pencils,Lápices,A2
Die,Blicke,Looks,Miradas,A2
Die,Blumen,Flowers,Flores,A2
Die,Bögen,Bows,Arcos,A2
Die,Briefe,Letters,Cartas,A2
Die,Briefmarken,Seals,Sellos,A2
Die,Brötchen,Buns,Pancitos,A2
Die,Brote,Breads,Panes,A2
Die,Bücher,Books,Libros,A2
Die,Buchstaben,Letters,Letras,A2
Die,Büros,Offices,Oficinas,A2
Die,Cafés,Coffee Shops,Cafeterías,A2
Die,CDs,Cds,Cds,A2
Die,Chefs,Bosses,Jefes,A2
Die,Computer,Computers,Computadoras,A2
Die,Cremes,Creams,Cremas,A2
Die,Dächer,Roofs,Techos,A2
Die,Damen,Lady,Dama,A2
Das,Alter,Age,Edad,A2
Das,Angebot,Offer,Oferta,A2
Das,Apartment,Department,Departamento,A2
Das,Auge,Eye,Ojo,A2
Das,Auto,Car,Auto,A2
Das,Bad,Bathroom,Baño,A2
Das,Bein,Leg,Pierna,A2
Das,Beispiel,Example,Ejemplo,A2
Das,Bett,Bed,Cama,A2
Das,Bier,Beer,Cerveza,A2
Das,Brot,Bread,Pan,A2
Das,Brötchen,Bread,Pancito,A2
Das,Buch,Book,Libro,A2
Das,Büro,The Office,La Oficina,A2
Das,Café,Coffee Shop,Cafetería,A2
Das,Dach,The Ceiling,Techo,A2
Das,Datum,Date,Fecha,A2
Das,Doppelzimmer,Double Room,Habitación Doble,A2
Das,Dorf,Village,Pueblo,A2
Das,Ei,Egg,Huevo,A2
Das,Einzelzimmer,Single Room,Habitación Simple,A2
Das,Eis,Ice Cream,Helado,A2
Das,Ende,Final,Final,A2
Das,Erdgeschoss,Low Level,Planta Baja,A2
Das,Ergebnis,Outcome,Resultado,A2
Das,Essen,Food,Comida,A2
Das,Fahrrad,Bike,Bicicleta,A2
Das,Fax,Fax,Fax,A2
Das,Fenster,Window,Ventana,A2
Das,Fernsehgerät,Tv,Televisión,A2
Das,Fest,Party,Fiesta,A2
Das,Feuer,Fire,Fuego,A2
Das,Feuerzeug,Lighter,Encendedor,A2
Das,Fieber,Fever,Fiebre,A2
Das,Fleisch,Meat,Carne,A2
Das,Flugzeug,Plane,Avión,A2
Das,Formular,Form,Formulario,A2
Das,Foto,Photo,Foto,A2
Das,Frühstück,Breakfast,Desayuno,A2
Das,Fundbüro,Lostandfound,Lostandfound,A2
Das,Gas,Gas,Gas,A2
Das,Geburtsjahr,Year Of Birth,Año De Nacimiento,A2
Das,Gegenteil,Opposite,Opuesto,A2
Das,Geld,Money,Dinero,A2
Das,Gemüse,Vegetable,Verdura,A2
Das,Gepäck,Luggage,Equipaje,A2
Das,Geschäft,Deal,Negocio,A2
Das,Geschenk,Present,Regalo,A2
Das,Geschirr,Crockery,Vajilla,A2
Das,Gesicht,Face,Rostro,A2
Das,Gespräch,Conversation,Conversación,A2
Das,Getränk,Drink,Bebida,A2
Das,Gewicht,Weight,Peso,A2
Das,Gewitter,Storm,Tormenta,A2
Das,Glas,Cup,Vaso,A2
Das,Gleis,Via,Vía,A2
Das,Glück,Luck,Suerte,A2
Das,Haar,Hair,Pelo,A2
Das,Hähnchen,Chicken,Pollo,A2
Das,Handtuch,Towel,Toalla,A2
Das,Handy,Cell Phone,Celular,A2
Das,Haus,House,Casa,A2
Das,Hemd,Shirt,Camisa,A2
Das,Herz,Heart,Corazón,A2
Das,Hobby,Hobby,Pasatiempo,A2
Das,Holz,Wood,Madera,A2
Das,Hotel,Hotel,Hotel,A2
Das,Internet,Internet,Internet,A2
Das,KFZ,Vehicle,Vehículo,A2
Das,Kind,Child,Niñx,A2
Das,Kino,Cinema,Cine,A2
Das,Kleid,Dress,Vestido,A2
Das,Konsulat,Consulate,Consulado,A2
Das,Konto,Bill,Cuenta,A2
Das,Lager,Deposit,Depósito,A2
Das,Land,Country,País,A2
Das,Leben,Lifetime,Vida,A2
Das,Licht,Light,Luz,A2
